Row 0:
  Domain 7: centroid = 102.00, value = 1, length = 1

Row 27:
  Domain 0: centroid = 126.50, value = 0, length = 50
  Domain 1: centroid = 24.00, value = 1, length = 1
  Domain 2: centroid = 25.00, value = 0, length = 1
  Domain 3: centroid = 26.50, value = 1, length = 2
  Domain 4: centroid = 28.00, value = 0, length = 1
  Domain 5: centroid = 30.00, value = 1, length = 3
  Domain 6: centroid = 32.50, value = 0, length = 2
  Domain 7: centroid = 62.50, value = 1, length = 58
  Domain 8: centroid = 92.00, value = 0, length = 1
  Domain 9: centroid = 97.00, value = 1, length = 9

Row 28:
  Domain 0: centroid = 4.50, value = 0, length = 38
  Domain 1: centroid = 24.00, value = 1, length = 1
  Domain 2: centroid = 26.00, value = 0, length = 3
  Domain 3: centroid = 28.00, value = 1, length = 1
  Domain 4: centroid = 30.50, value = 0, length = 4
  Domain 5: centroid = 33.00, value = 1, length = 1
  Domain 6: centroid = 34.00, value = 0, length = 1
  Domain 7: centroid = 35.00, value = 1, length = 1
  Domain 8: centroid = 36.00, value = 0, length = 1
  Domain 9: centroid = 70.00, value = 1, length = 67
  Domain 10: centroid = 105.00, value = 0, length = 3
  Domain 11: centroid = 107.00, value = 1, length = 1
  Domain 12: centroid = 110.00, value = 0, length = 5
  Domain 13: centroid = 113.00, value = 1, length = 1

Row 29:
  Domain 0: centroid = 16.50, value = 0, length = 42
  Domain 1: centroid = 38.50, value = 1, length = 2
  Domain 2: centroid = 40.00, value = 0, length = 1
  Domain 3: centroid = 41.00, value = 1, length = 1
  Domain 4: centroid = 42.00, value = 0, length = 1
  Domain 5: centroid = 43.00, value = 1, length = 1
  Domain 6: centroid = 44.00, value = 0, length = 1
  Domain 7: centroid = 74.00, value = 1, length = 59
  Domain 8: centroid = 104.00, value = 0, length = 1
  Domain 9: centroid = 108.00, value = 1, length = 7
  Domain 10: centroid = 114.00, value = 0, length = 5
  Domain 11: centroid = 117.00, value = 1, length = 1
  Domain 12: centroid = 120.00, value = 0, length = 5
  Domain 13: centroid = 123.00, value = 1, length = 1

Row 30:
  Domain 0: centroid = 15.00, value = 0, length = 55
  Domain 1: centroid = 43.00, value = 1, length = 1
  Domain 2: centroid = 44.00, value = 0, length = 1
  Domain 3: centroid = 45.00, value = 1, length = 1
  Domain 4: centroid = 46.00, value = 0, length = 1
  Domain 5: centroid = 81.00, value = 1, length = 69

Row 31:
  Domain 0: centroid = 3.50, value = 0, length = 34
  Domain 1: centroid = 21.00, value = 1, length = 1
  Domain 2: centroid = 23.00, value = 0, length = 3
  Domain 3: centroid = 25.00, value = 1, length = 1
  Domain 4: centroid = 28.50, value = 0, length = 6
  Domain 5: centroid = 32.00, value = 1, length = 1
  Domain 6: centroid = 33.00, value = 0, length = 1
  Domain 7: centroid = 35.00, value = 1, length = 3
  Domain 8: centroid = 37.00, value = 0, length = 1
  Domain 9: centroid = 64.00, value = 1, length = 53
  Domain 10: centroid = 91.00, value = 0, length = 1
  Domain 11: centroid = 97.00, value = 1, length = 11
  Domain 12: centroid = 103.00, value = 0, length = 1
  Domain 13: centroid = 104.00, value = 1, length = 1
  Domain 14: centroid = 109.00, value = 0, length = 9
  Domain 15: centroid = 114.00, value = 1, length = 1

Row 32:
  Domain 0: centroid = 15.00, value = 0, length = 45
  Domain 1: centroid = 38.00, value = 1, length = 1
  Domain 2: centroid = 40.50, value = 0, length = 4
  Domain 3: centroid = 43.50, value = 1, length = 2
  Domain 4: centroid = 45.50, value = 0, length = 2
  Domain 5: centroid = 47.50, value = 1, length = 2
  Domain 6: centroid = 49.00, value = 0, length = 1
  Domain 7: centroid = 50.00, value = 1, length = 1
  Domain 8: centroid = 51.00, value = 0, length = 1
  Domain 9: centroid = 83.00, value = 1, length = 63
  Domain 10: centroid = 115.00, value = 0, length = 1
  Domain 11: centroid = 116.00, value = 1, length = 1
  Domain 12: centroid = 118.00, value = 0, length = 3
  Domain 13: centroid = 120.00, value = 1, length = 1

Row 33:
  Domain 0: centroid = 19.00, value = 0, length = 45
  Domain 1: centroid = 42.00, value = 1, length = 1
  Domain 2: centroid = 43.00, value = 0, length = 1
  Domain 3: centroid = 44.00, value = 1, length = 1
  Domain 4: centroid = 45.00, value = 0, length = 1
  Domain 5: centroid = 46.50, value = 1, length = 2
  Domain 6: centroid = 48.50, value = 0, length = 2
  Domain 7: centroid = 78.00, value = 1, length = 57
  Domain 8: centroid = 107.00, value = 0, length = 1
  Domain 9: centroid = 108.50, value = 1, length = 2
  Domain 10: centroid = 110.00, value = 0, length = 1
  Domain 11: centroid = 112.00, value = 1, length = 3
  Domain 12: centroid = 114.00, value = 0, length = 1
  Domain 13: centroid = 115.00, value = 1, length = 1
  Domain 14: centroid = 116.00, value = 0, length = 1
  Domain 15: centroid = 117.50, value = 1, length = 2
  Domain 16: centroid = 119.00, value = 0, length = 1
  Domain 17: centroid = 120.00, value = 1, length = 1
  Domain 18: centroid = 121.50, value = 0, length = 2
  Domain 19: centroid = 123.50, value = 1, length = 2

Row 34:
  Domain 0: centroid = 1.50, value = 0, length = 50
  Domain 1: centroid = 28.00, value = 1, length = 3
  Domain 2: centroid = 30.50, value = 0, length = 2
  Domain 3: centroid = 63.00, value = 1, length = 63
  Domain 4: centroid = 95.00, value = 0, length = 1
  Domain 5: centroid = 97.00, value = 1, length = 3
  Domain 6: centroid = 99.50, value = 0, length = 2
  Domain 7: centroid = 102.50, value = 1, length = 4

Row 35:
  Domain 0: centroid = 113.50, value = 0, length = 48
  Domain 1: centroid = 10.50, value = 1, length = 2
  Domain 2: centroid = 12.50, value = 0, length = 2
  Domain 3: centroid = 16.00, value = 1, length = 5
  Domain 4: centroid = 19.00, value = 0, length = 1
  Domain 5: centroid = 20.00, value = 1, length = 1
  Domain 6: centroid = 21.00, value = 0, length = 1
  Domain 7: centroid = 53.50, value = 1, length = 64
  Domain 8: centroid = 86.00, value = 0, length = 1
  Domain 9: centroid = 87.00, value = 1, length = 1
  Domain 10: centroid = 88.00, value = 0, length = 1
  Domain 11: centroid = 89.00, value = 1, length = 1

Row 36:
  Domain 0: centroid = 114.00, value = 0, length = 53
  Domain 1: centroid = 14.50, value = 1, length = 4
  Domain 2: centroid = 17.00, value = 0, length = 1
  Domain 3: centroid = 50.50, value = 1, length = 66
  Domain 4: centroid = 85.00, value = 0, length = 3
  Domain 5: centroid = 87.00, value = 1, length = 1

Row 37:
  Domain 0: centroid = 111.00, value = 0, length = 47
  Domain 1: centroid = 7.00, value = 1, length = 1
  Domain 2: centroid = 8.00, value = 0, length = 1
  Domain 3: centroid = 9.50, value = 1, length = 2
  Domain 4: centroid = 11.50, value = 0, length = 2
  Domain 5: centroid = 47.00, value = 1, length = 69
  Domain 6: centroid = 82.00, value = 0, length = 1
  Domain 7: centroid = 83.00, value = 1, length = 1
  Domain 8: centroid = 85.00, value = 0, length = 3
  Domain 9: centroid = 87.00, value = 1, length = 1

Row 38:
  Domain 0: centroid = 117.50, value = 0, length = 52
  Domain 1: centroid = 17.50, value = 1, length = 4
  Domain 2: centroid = 20.00, value = 0, length = 1
  Domain 3: centroid = 22.00, value = 1, length = 3
  Domain 4: centroid = 24.00, value = 0, length = 1
  Domain 5: centroid = 55.50, value = 1, length = 62
  Domain 6: centroid = 87.50, value = 0, length = 2
  Domain 7: centroid = 90.00, value = 1, length = 3

Row 39:
  Domain 0: centroid = 115.00, value = 0, length = 45
  Domain 1: centroid = 10.00, value = 1, length = 1
  Domain 2: centroid = 14.00, value = 0, length = 7
  Domain 3: centroid = 19.00, value = 1, length = 3
  Domain 4: centroid = 21.00, value = 0, length = 1
  Domain 5: centroid = 23.00, value = 1, length = 3
  Domain 6: centroid = 25.00, value = 0, length = 1
  Domain 7: centroid = 55.50, value = 1, length = 60
  Domain 8: centroid = 86.00, value = 0, length = 1
  Domain 9: centroid = 87.00, value = 1, length = 1
  Domain 10: centroid = 88.00, value = 0, length = 1
  Domain 11: centroid = 89.50, value = 1, length = 2
  Domain 12: centroid = 91.00, value = 0, length = 1
  Domain 13: centroid = 92.00, value = 1, length = 1

Row 40:
  Domain 0: centroid = 125.50, value = 0, length = 46
  Domain 1: centroid = 21.00, value = 1, length = 1
  Domain 2: centroid = 23.00, value = 0, length = 3
  Domain 3: centroid = 59.50, value = 1, length = 70
  Domain 4: centroid = 95.00, value = 0, length = 1
  Domain 5: centroid = 96.00, value = 1, length = 1
  Domain 6: centroid = 99.00, value = 0, length = 5
  Domain 7: centroid = 102.00, value = 1, length = 1

Row 41:
  Domain 0: centroid = 118.00, value = 0, length = 49
  Domain 1: centroid = 15.50, value = 1, length = 2
  Domain 2: centroid = 18.00, value = 0, length = 3
  Domain 3: centroid = 54.50, value = 1, length = 70
  Domain 4: centroid = 91.00, value = 0, length = 3
  Domain 5: centroid = 93.00, value = 1, length = 1

Row 42:
  Domain 0: centroid = 116.00, value = 0, length = 45
  Domain 1: centroid = 11.00, value = 1, length = 1
  Domain 2: centroid = 12.00, value = 0, length = 1
  Domain 3: centroid = 13.00, value = 1, length = 1
  Domain 4: centroid = 14.00, value = 0, length = 1
  Domain 5: centroid = 17.00, value = 1, length = 5
  Domain 6: centroid = 20.00, value = 0, length = 1
  Domain 7: centroid = 55.00, value = 1, length = 69
  Domain 8: centroid = 90.00, value = 0, length = 1
  Domain 9: centroid = 92.00, value = 1, length = 3

Row 43:
